draft,categories,layout,publication,title,subtitle,image,date,blurb,notes,refs,sources,slug,ext,tags,image_desc
false,'_categories/journalism.md',article,_publications/medium.md,How Capitalism Makes Us Less Safe,Our desperate attempts at profiteering and monopolization render us all more vulnerable to death and disaster,/uploads/0_kw5t3wiy9z7fj5qg.jpg,2022-09-10 04:00:00 +0000,They are making “the insulation equation”: they believe they are earning enough extra money through these dangerous practices to buy and hoard food if and when the agricultural catastrophe occurs.,"[https://rushkoff.medium.com/how-capitalism-makes-us-less-safe-fb03e0c0a422](https://rushkoff.medium.com/how-capitalism-makes-us-less-safe-fb03e0c0a422 ""https://rushkoff.medium.com/how-capitalism-makes-us-less-safe-fb03e0c0a422"")","","",how-capitalism-makes-us-less-safe,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,Catastrophe is Just the Figure,We living things are here on the Ground,/uploads/0_wo-fpb7t-giddgwm.jpg,2022-09-15 04:00:00 +0000,"","[https://rushkoff.medium.com/catastrophe-is-just-the-figure-ff03a837d855](https://rushkoff.medium.com/catastrophe-is-just-the-figure-ff03a837d855 ""https://rushkoff.medium.com/catastrophe-is-just-the-figure-ff03a837d855"")","","",catastrophe-is-just-the-figure,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,Speculative Fiction to the Rescue,On the publication of Cybersalon’s new collection of ideas about the future,/uploads/1_1dfdsagfby8fac4lqzptng.webp,2022-09-29 04:00:00 +0000,Speculative fiction does something very special to the otherwise closed mind. It creates space for the novel.,"[https://rushkoff.medium.com/speculative-fiction-to-the-rescue-d4797824d52](https://rushkoff.medium.com/speculative-fiction-to-the-rescue-d4797824d52 ""https://rushkoff.medium.com/speculative-fiction-to-the-rescue-d4797824d52"")","","",speculative-fiction-to-the-rescue,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,"Corporations are Software, and Up for Revision","Revisiting my book Life Inc, Fifteen Years Later","",2022-10-07 04:00:00 +0000,"","[https://rushkoff.medium.com/corporations-are-software-and-up-for-revision-8fed75dfa0aa](https://rushkoff.medium.com/corporations-are-software-and-up-for-revision-8fed75dfa0aa ""https://rushkoff.medium.com/corporations-are-software-and-up-for-revision-8fed75dfa0aa"")","","",corporations-are-software-and-up-for-revision,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,Why You Must Get Off Facebook Immediately,"The platform makes you, your friends, and family vulnerable to robbery",/uploads/0_dshqdhgcgirdsikh.jpg,2022-10-10 04:00:00 +0000,"","[https://rushkoff.medium.com/why-you-must-get-off-facebook-immediately-5f56f160f50f](https://rushkoff.medium.com/why-you-must-get-off-facebook-immediately-5f56f160f50f ""https://rushkoff.medium.com/why-you-must-get-off-facebook-immediately-5f56f160f50f"")","","",why-you-must-get-off-facebook-immediately,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,Now You See What I Mean,The real promise of shared virtual realities,"",2022-10-21 04:00:00 +0000,It was that human connection that made the VR worth anything at all.,"[https://rushkoff.medium.com/now-you-see-what-i-mean-e4b580d37e26](https://rushkoff.medium.com/now-you-see-what-i-mean-e4b580d37e26 ""https://rushkoff.medium.com/now-you-see-what-i-mean-e4b580d37e26"")","","",now-you-see-what-i-mean,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,Trauma Begets Trauma,The political expediency of holding one’s nose,/uploads/0_ghbfxuru-rwug7_w.jpg,2022-10-28 04:00:00 +0000,Perfect is more than a mere enemy of good; it is anathema to any _progressive_ agenda.,"[https://rushkoff.medium.com/trauma-begets-trauma-ae711fed89e1](https://rushkoff.medium.com/trauma-begets-trauma-ae711fed89e1 ""https://rushkoff.medium.com/trauma-begets-trauma-ae711fed89e1"")","","",trauma-begets-trauma,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,Free Market Hypocrisy,"Raising interest rates doesn’t increase supply, it just makes people poorer.",/uploads/0_ivwx8nmutcogdn0g.jpg,2022-11-04 04:00:00 +0000,"The Fed’s solution of raising interest rates doesn’t discourage gouging, nor does it increase the supply of goods. Raising interest rates is intended to lower demand by making people poorer.","[https://rushkoff.medium.com/free-market-hypocrisy-edb0fd255a1c](https://rushkoff.medium.com/free-market-hypocrisy-edb0fd255a1c ""https://rushkoff.medium.com/free-market-hypocrisy-edb0fd255a1c"")","","",free-market-hypocrisy,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,How Elon Upstaged Donald,The new Troll in Chief may have undermined both authoritarianism and his hopes for a techno-monarchy,/uploads/1_yrbzodlolacytakp5xtikw.webp,2022-11-10 05:00:00 +0000,"Musk is to Trump as Trump is to Sheen. And just like Trump, he is less concerned with his impact than how it plays with the crowd.","[https://rushkoff.medium.com/how-elon-upstaged-donald-599b36564d35](https://rushkoff.medium.com/how-elon-upstaged-donald-599b36564d35 ""https://rushkoff.medium.com/how-elon-upstaged-donald-599b36564d35"")","","",how-elon-upstaged-donald,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,What’s a Meta For? — part one,Big Tech’s Search for the Ultimate Escape Hatch,/uploads/0_fx9dhkht4qukygm.jpg,2022-11-19 05:00:00 +0000,"Like salvation to a Christian, enlightenment to a Buddhist, or the IPO to a venture capitalist, “going meta” and operating at least one level above the mere mortals down here on terra firma has become the ultimate goal of any self-respecting tech titan.","[https://rushkoff.medium.com/whats-a-meta-for-part-one-f4314414c14f](https://rushkoff.medium.com/whats-a-meta-for-part-one-f4314414c14f ""https://rushkoff.medium.com/whats-a-meta-for-part-one-f4314414c14f"")","","",what-s-a-meta-for-part-one,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,What’s a Meta For? — Part Two,"Longtermism, and Metamodernism, and Optimizing Twitter for a Post-Human Future",/uploads/0__j7dx0kvbirhjorp.jpg,2022-11-28 05:00:00 +0000,"Just buy the supplements, do the microdosing course, pay to attend the festival, and bring yourself to believe what an almost entirely white male contingent of [Dark-Enlightenment](https://www.vanityfair.com/news/2022/04/inside-the-new-right-where-peter-thiel-is-placing-his-biggest-bets)-alt-right-adjacent philosophers have to tell us about the realm they are colonizing on our behalf","[https://rushkoff.medium.com/whats-a-meta-for-part-two-e3bed1cf7ec4](https://rushkoff.medium.com/whats-a-meta-for-part-two-e3bed1cf7ec4 ""https://rushkoff.medium.com/whats-a-meta-for-part-two-e3bed1cf7ec4"")","","",what-s-a-meta-for-part-two,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,The Year Tech Bro Lunacy Was Exposed,2022 Year in Review,/uploads/0_vnqypiov5npwel7p.jpg,2022-12-07 05:00:00 +0000,How the mighty — and scary — have fallen.,"[https://rushkoff.medium.com/the-year-tech-bro-lunacy-was-exposed-fe220426397b](https://rushkoff.medium.com/the-year-tech-bro-lunacy-was-exposed-fe220426397b ""https://rushkoff.medium.com/the-year-tech-bro-lunacy-was-exposed-fe220426397b"")","","",the-year-tech-bro-lunacy-was-exposed,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,Infectious Altruism,A Holiday Story,/uploads/0_whe9eae7gfvpf3sj.jpg,2022-12-15 05:00:00 +0000,"","[https://rushkoff.medium.com/infectious-altruism-e434a99ed916](https://rushkoff.medium.com/infectious-altruism-e434a99ed916 ""https://rushkoff.medium.com/infectious-altruism-e434a99ed916"")","","",infectious-altruism,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,If I Were CEO of Twitter,What if the platform rose to this occasion?,/uploads/0_vgfre2bk6b_4oeqk.jpg,2022-12-19 05:00:00 +0000,I’d have the company accept responsibility for itself as a publishing platform.,"[https://rushkoff.medium.com/if-i-were-ceo-of-twitter-a0520c1e8167](https://rushkoff.medium.com/if-i-were-ceo-of-twitter-a0520c1e8167 ""https://rushkoff.medium.com/if-i-were-ceo-of-twitter-a0520c1e8167"")","","",if-i-were-ceo-of-twitter,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,The Medium is the Message,The real and imagined dangers of AI,/uploads/0_obgypfkcoxw5sake.jpg,2022-12-22 05:00:00 +0000,"","[https://rushkoff.medium.com/the-medium-is-the-message-fbf83929127](https://rushkoff.medium.com/the-medium-is-the-message-fbf83929127 ""https://rushkoff.medium.com/the-medium-is-the-message-fbf83929127"")","","",the-medium-is-the-message,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,How to Grade Papers Written by AI,The only answer to more tech is more human investment,/uploads/1_umqgxfto4cy1nk9-s_2_8w.webp,2023-01-02 05:00:00 +0000,"There are no _aha_ moments, no incomplete thoughts, no wrestling with ambiguity.","[https://rushkoff.medium.com/how-to-grade-papers-written-by-ai-4277a78a892](https://rushkoff.medium.com/how-to-grade-papers-written-by-ai-4277a78a892 ""https://rushkoff.medium.com/how-to-grade-papers-written-by-ai-4277a78a892"")","","",how-to-grade-papers-written-by-ai,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,How a Book Gets Published,From pitch to publication,/uploads/0_ptp-i_p_bn9ojcl6.jpg,2023-01-09 05:00:00 +0000,The length of time between “submitting finished manuscript” to “book in stores” is usually about a year. I know.,"[https://rushkoff.medium.com/how-a-book-gets-published-baab6e8839d3](https://rushkoff.medium.com/how-a-book-gets-published-baab6e8839d3 ""https://rushkoff.medium.com/how-a-book-gets-published-baab6e8839d3"")","","",how-a-book-gets-published,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,Probability Leads Only to Death,Be careful how closely you follow the data,/uploads/0_b4yaxbwocdwiriyj.jpg,2023-01-17 05:00:00 +0000,"","[https://rushkoff.medium.com/probability-leads-only-to-death-44d9ed218b94](https://rushkoff.medium.com/probability-leads-only-to-death-44d9ed218b94 ""https://rushkoff.medium.com/probability-leads-only-to-death-44d9ed218b94"")","","",probability-leads-only-to-death,.md,,
